toko_id,Page_URL,Title,Harga,Rating,Review,Alamat,No_Telp,Phone_Numb,Phone_Num,Latitude,Longitude,type,jenis
0,"https://www.google.com/maps/place/Gudeg+Permata+Bu+Narti/@-7.8011863,110.373194,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57814f2e420b:0x301ea11da2471e74!8m2!3d-7.8011863!4d110.373194!16s%2Fg%2F1pzr719ts?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Gudeg Permata Bu Narti,Rp 25–50 rb,4.5,3794,"Jl. Gajah Mada No.2, Gunungketur, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55111",,(0274) 553853,"
(0274) 553853",-7.8011863,110.373194,berat,gudeg
1,"https://www.google.com/maps/place/Gudeg+Mercon+Pasar+Sentul/@-7.8018441,110.3770897,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57d4963fa8a1:0x927e59a36844abad!8m2!3d-7.8018441!4d110.3770897!16s%2Fg%2F11rxl3q67v?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Gudeg Mercon Pasar Sentul,Rp 1–25.000,4.6,290,"Jl. Sultan Agung, Gunungketur, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55111",0882-9332-1604,,,-7.8018441,110.3770897,berat,gudeg
2,"https://www.google.com/maps/place/Gudeg+Yu+Djum+Wijilan+31/@-7.8049362,110.3667234,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5785603eda9d:0x16f04554efd6de70!8m2!3d-7.8049362!4d110.3667234!16s%2Fg%2F11gf5l6zpg?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Gudeg Yu Djum Wijilan 31,Rp 25–50 rb,4.5,1137,"Jl. Wijilan No.31, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",0813-3303-4747,,,-7.8049362,110.3667234,berat,gudeg
3,"https://www.google.com/maps/place/Gudeg+Yu+Djum+Wijilan+167/@-7.8045659,110.3667533,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a574135fe1069:0x38ddc01ac0a38eec!8m2!3d-7.8045659!4d110.3667533!16s%2Fg%2F11jcn6w9cl?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Gudeg Yu Djum Wijilan 167,Rp 25–50 rb,4.5,604,"Jl. Wijilan No.167, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",0821-3869-7888,,,-7.8045659,110.3667533,berat,gudeg
4,"https://www.google.com/maps/place/Gudeg+Wijilan+Bu+Lies+2/@-7.8042287,110.3667,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a578f8aaac5d5:0xf66bf00b6e133d67!8m2!3d-7.8042287!4d110.3667!16s%2Fg%2F11b72rbj0b?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Gudeg Wijilan Bu Lies 2,Rp 25–50 rb,4.4,3770,"Jl. Wijilan No.5, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",0877-3869-1803,,,-7.8042287,110.3667,berat,gudeg
5,"https://www.google.com/maps/place/Gudeg+Wijilan+Bu+Hj.+Rini/@-7.8043545,110.3667744,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a578560105b6f:0x26a8f977361fe38a!8m2!3d-7.8043545!4d110.3667744!16s%2Fg%2F1hm6hjn15?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Gudeg Wijilan Bu Hj. Rini,Rp 25–50 rb,4.5,1166,"Jl. Wijilan No.7, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",0857-4236-3844,,,-7.8043545,110.3667744,berat,gudeg
6,"https://www.google.com/maps/place/Gudeg+Bu+is+asli+Wijilan/@-7.8043931,110.3666903,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57733fa6f4d3:0x5ac63d78ae04b60b!8m2!3d-7.8043931!4d110.3666903!16s%2Fg%2F11sv8vm5q7?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Gudeg Bu is asli Wijilan,Rp 25–50 rb,4.7,171,"Jl. Wijilan No.7, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",0877-3892-0614,,,-7.8043931,110.3666903,berat,gudeg
7,"https://www.google.com/maps/place/Gudeg+Yu+Djum/@-7.7939226,110.3652499,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5827b486d57b:0x3c0e9dec5b366c5f!8m2!3d-7.7939226!4d110.3652499!16s%2Fg%2F1ptyp443w?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Gudeg Yu Djum,Rp 25–50 rb,4.3,3785,"Jl. Dagen No.2C, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",0851-0250-0500,,,-7.7939226,110.3652499,berat,gudeg
8,"https://www.google.com/maps/place/Gudeg+Bu+Slamet+Wijilan+1946/@-7.8045689,110.3667133,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57855651359f:0x3c44853a0a33d427!8m2!3d-7.8045689!4d110.3667133!16s%2Fg%2F1pzt0wdtq?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Gudeg Bu Slamet Wijilan 1946,Rp 25–50 rb,4.5,328,"Jl. Wijilan No.17, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",0812-3394-2406,0812-3394-2406,"
0812-3394-2406",-7.8045689,110.3667133,berat,gudeg
9,"https://www.google.com/maps/place/MONUMEN+SENTRA+GUDEG+WIJILAN/@-7.8046095,110.3665543,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5776cd641b1d:0x512cff3753ed6494!8m2!3d-7.8046095!4d110.3665543!16s%2Fg%2F11tcrzlyqq?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",MONUMEN SENTRA GUDEG WIJILAN,Rp 25–50 rb,4.9,16,"Jl. Wijilan No.19-25, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",,"59W8+5J Panembahan, Kota Yogyakarta, Daerah Istimewa Yogyakarta","
59W8+5J Panembahan, Kota Yogyakarta, Daerah Istimewa Yogyakarta",-7.8046095,110.3665543,berat,gudeg
10,"https://www.google.com/maps/place/Gudeg+Pawon/@-7.805718,110.3901396,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57700347cb51:0xed0b575329f65c3d!8m2!3d-7.805718!4d110.3901396!16s%2Fg%2F1pzpwwrgk?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Gudeg Pawon,Rp 25–50 rb,4.5,4257,"Jl. Prof. DR. Soepomo Sh UH/IV No.36, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55164",0822-3315-5497,,,-7.805718,110.3901396,berat,gudeg
